.artifacts/analysis-2025/01-SCAN-RESULTS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
.cursor/ai-driven-workflow/03-project-brief-creation.md → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
.cursor/ai-driven-workflow/03-project-brief-creation.md → scripts/validate_prerequisites_03.py | call | Executes scripts/validate_prerequisites_03.py
.cursor/ai-driven-workflow/03-project-brief-creation.md → scripts/verify_brief_approvals.py | call | Executes scripts/verify_brief_approvals.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → .cursor/ai-driven-workflow/05-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/05-bootstrap-your-project.md
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → .cursor/rules/ | reference | References .cursor/rules/
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → ai-driven-workflow/05-bootstrap-your-project.md | reference | References ai-driven-workflow/05-bootstrap-your-project.md
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/aggregate_evidence_04.py | call | Executes scripts/aggregate_evidence_04.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/doctor.py | call | Executes scripts/doctor.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/evidence_manager.py | call | Executes scripts/evidence_manager.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/generate_from_brief.py | call | Executes scripts/generate_from_brief.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/normalize_project_rules.py | call | Executes scripts/normalize_project_rules.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/rules_audit_quick.py | call | Executes scripts/rules_audit_quick.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/run_protocol_04_gates.py | call | Executes scripts/run_protocol_04_gates.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/validate_prerequisites_04.py | call | Executes scripts/validate_prerequisites_04.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/validate_scaffold.py | call | Executes scripts/validate_scaffold.py
.cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/ai-driven-workflow/02-client-discovery-initiation.md | reference | References .cursor/ai-driven-workflow/02-client-discovery-initiation.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/ai-driven-workflow/24-client-discovery.md | reference | References .cursor/ai-driven-workflow/24-client-discovery.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/bootstrap/ | reference | References .cursor/bootstrap/
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/bootstrap/detected-stack.json | reference | References .cursor/bootstrap/detected-stack.json
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/context-kit/README.md | reference | References .cursor/context-kit/README.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/context-kit/template-inventory.md | reference | References .cursor/context-kit/template-inventory.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/rules/ | reference | References .cursor/rules/
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → .cursor/rules/project-rules/ | reference | References .cursor/rules/project-rules/
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → ai-driven-workflow/02-client-discovery-initiation.md | reference | References ai-driven-workflow/02-client-discovery-initiation.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → ai-driven-workflow/24-client-discovery.md | reference | References ai-driven-workflow/24-client-discovery.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → protocol-branching-guide.md | reference | Mentions protocol protocol-branching-guide.md
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → rules/project-rules/ | reference | References rules/project-rules/
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/aggregate_evidence_05.py | call | Executes scripts/aggregate_evidence_05.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/normalize_project_rules.py | call | Executes scripts/normalize_project_rules.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/rules_audit_quick.py | call | Executes scripts/rules_audit_quick.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/run_protocol_05_gates.py | call | Executes scripts/run_protocol_05_gates.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/validate_prerequisites_05.py | call | Executes scripts/validate_prerequisites_05.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/validate_principles.py | call | Executes scripts/validate_principles.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/validate_repo_mapping.py | call | Executes scripts/validate_repo_mapping.py
.cursor/ai-driven-workflow/05-bootstrap-your-project.md → scripts/validate_rule_metadata.py | call | Executes scripts/validate_rule_metadata.py
.cursor/ai-driven-workflow/06-create-prd.md → .cursor/ai-driven-workflow/07-technical-design-architecture.md | reference | References .cursor/ai-driven-workflow/07-technical-design-architecture.md
.cursor/ai-driven-workflow/06-create-prd.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/06-create-prd.md → ai-driven-workflow/07-technical-design-architecture.md | reference | References ai-driven-workflow/07-technical-design-architecture.md
.cursor/ai-driven-workflow/06-create-prd.md → scripts/aggregate_evidence_1.py | call | Executes scripts/aggregate_evidence_1.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/generate_prd_assets.py | call | Executes scripts/generate_prd_assets.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/run_protocol_1_gates.py | call | Executes scripts/run_protocol_1_gates.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/validate_prd_context.py | call | Executes scripts/validate_prd_context.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/validate_prd_gate.py | call | Executes scripts/validate_prd_gate.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/validate_prd_requirements.py | call | Executes scripts/validate_prd_requirements.py
.cursor/ai-driven-workflow/06-create-prd.md → scripts/validate_prerequisites_1.py | call | Executes scripts/validate_prerequisites_1.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → .cursor/ai-driven-workflow/08-generate-tasks.md | reference | References .cursor/ai-driven-workflow/08-generate-tasks.md
.cursor/ai-driven-workflow/07-technical-design-architecture.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/07-technical-design-architecture.md → ai-driven-workflow/08-generate-tasks.md | reference | References ai-driven-workflow/08-generate-tasks.md
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/aggregate_evidence_6.py | call | Executes scripts/aggregate_evidence_6.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/plan_from_brief.py | call | Executes scripts/plan_from_brief.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/run_protocol_6_gates.py | call | Executes scripts/run_protocol_6_gates.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/validate_design_handoff.py | call | Executes scripts/validate_design_handoff.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/validate_prerequisites_6.py | call | Executes scripts/validate_prerequisites_6.py
.cursor/ai-driven-workflow/07-technical-design-architecture.md → scripts/validate_workflow_integration.py | call | Executes scripts/validate_workflow_integration.py
.cursor/ai-driven-workflow/08-generate-tasks.md → .cursor/ai-driven-workflow/09-environment-setup-validation.md | reference | References .cursor/ai-driven-workflow/09-environment-setup-validation.md
.cursor/ai-driven-workflow/08-generate-tasks.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/08-generate-tasks.md → .cursor/rules/ | reference | References .cursor/rules/
.cursor/ai-driven-workflow/08-generate-tasks.md → .cursor/tasks/ | reference | References .cursor/tasks/
.cursor/ai-driven-workflow/08-generate-tasks.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.cursor/ai-driven-workflow/08-generate-tasks.md → ai-driven-workflow/09-environment-setup-validation.md | reference | References ai-driven-workflow/09-environment-setup-validation.md
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/aggregate_evidence_2.py | call | Executes scripts/aggregate_evidence_2.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/enrich_tasks.py | call | Executes scripts/enrich_tasks.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/run_protocol_2_gates.py | call | Executes scripts/run_protocol_2_gates.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/validate_high_level_tasks.py | call | Executes scripts/validate_high_level_tasks.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/validate_prerequisites_2.py | call | Executes scripts/validate_prerequisites_2.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/validate_rule_index.py | call | Executes scripts/validate_rule_index.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/validate_task_decomposition.py | call | Executes scripts/validate_task_decomposition.py
.cursor/ai-driven-workflow/08-generate-tasks.md → scripts/validate_tasks.py | call | Executes scripts/validate_tasks.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → .cursor/ai-driven-workflow/10-process-tasks.md | reference | References .cursor/ai-driven-workflow/10-process-tasks.md
.cursor/ai-driven-workflow/09-environment-setup-validation.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/09-environment-setup-validation.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.cursor/ai-driven-workflow/09-environment-setup-validation.md → ai-driven-workflow/10-process-tasks.md | reference | References ai-driven-workflow/10-process-tasks.md
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/aggregate_evidence_7.py | call | Executes scripts/aggregate_evidence_7.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/doctor.py | call | Executes scripts/doctor.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/install_and_test.sh | call | Runs scripts/install_and_test.sh
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/package_environment_assets.py | call | Executes scripts/package_environment_assets.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/run_protocol_7_gates.py | call | Executes scripts/run_protocol_7_gates.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/scaffold_phase_artifacts.py | call | Executes scripts/scaffold_phase_artifacts.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/setup.sh | call | Runs scripts/setup.sh
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/validate_environment_requirements.py | call | Executes scripts/validate_environment_requirements.py
.cursor/ai-driven-workflow/09-environment-setup-validation.md → scripts/validate_prerequisites_7.py | call | Executes scripts/validate_prerequisites_7.py
.cursor/ai-driven-workflow/10-process-tasks.md → .cursor/ai-driven-workflow/11-integration-testing.md | reference | References .cursor/ai-driven-workflow/11-integration-testing.md
.cursor/ai-driven-workflow/10-process-tasks.md → .cursor/ai-driven-workflow/4-quality-audit.md | reference | References .cursor/ai-driven-workflow/4-quality-audit.md
.cursor/ai-driven-workflow/10-process-tasks.md → .cursor/rules/ | reference | References .cursor/rules/
.cursor/ai-driven-workflow/10-process-tasks.md → .cursor/tasks/ | reference | References .cursor/tasks/
.cursor/ai-driven-workflow/10-process-tasks.md → .cursor/tasks/tasks- | reference | References .cursor/tasks/tasks-
.cursor/ai-driven-workflow/10-process-tasks.md → ai-driven-workflow/11-integration-testing.md | reference | References ai-driven-workflow/11-integration-testing.md
.cursor/ai-driven-workflow/10-process-tasks.md → ai-driven-workflow/4-quality-audit.md | reference | References ai-driven-workflow/4-quality-audit.md
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/aggregate_evidence_3.py | call | Executes scripts/aggregate_evidence_3.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/run_protocol_3_gates.py | call | Executes scripts/run_protocol_3_gates.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/update_task_state.py | call | Executes scripts/update_task_state.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/validate_preflight.py | call | Executes scripts/validate_preflight.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/validate_prerequisites_3.py | call | Executes scripts/validate_prerequisites_3.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/validate_quality_gate.py | call | Executes scripts/validate_quality_gate.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/validate_session_closeout.py | call | Executes scripts/validate_session_closeout.py
.cursor/ai-driven-workflow/10-process-tasks.md → scripts/validate_subtask_compliance.py | call | Executes scripts/validate_subtask_compliance.py
.cursor/ai-driven-workflow/11-integration-testing.md → .cursor/ai-driven-workflow/12-quality-audit.md | reference | References .cursor/ai-driven-workflow/12-quality-audit.md
.cursor/ai-driven-workflow/11-integration-testing.md → ai-driven-workflow/12-quality-audit.md | reference | References ai-driven-workflow/12-quality-audit.md
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/aggregate_evidence_9.py | call | Executes scripts/aggregate_evidence_9.py
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/generate_artifact_manifest.py | call | Executes scripts/generate_artifact_manifest.py
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/run_contract_tests.py | call | Executes scripts/run_contract_tests.py
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/run_protocol_11_gates.py | call | Executes scripts/run_protocol_11_gates.py
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/validate_environment.py | call | Executes scripts/validate_environment.py
.cursor/ai-driven-workflow/11-integration-testing.md → scripts/validate_prerequisites_9.py | call | Executes scripts/validate_prerequisites_9.py
.cursor/ai-driven-workflow/12-quality-audit.md → .cursor/ai-driven-workflow/13-uat-coordination.md | reference | References .cursor/ai-driven-workflow/13-uat-coordination.md
.cursor/ai-driven-workflow/12-quality-audit.md → .cursor/ai-driven-workflow/review-protocols/ | reference | References .cursor/ai-driven-workflow/review-protocols/
.cursor/ai-driven-workflow/12-quality-audit.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/12-quality-audit.md → .cursor/context-kit/quality-audit-summary.json | reference | References .cursor/context-kit/quality-audit-summary.json
.cursor/ai-driven-workflow/12-quality-audit.md → ai-driven-workflow/13-uat-coordination.md | reference | References ai-driven-workflow/13-uat-coordination.md
.cursor/ai-driven-workflow/12-quality-audit.md → ai-driven-workflow/review-protocols/ | reference | References ai-driven-workflow/review-protocols/
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/aggregate_evidence_4.py | call | Executes scripts/aggregate_evidence_4.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/collect_change_context.py | call | Executes scripts/collect_change_context.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/run_comprehensive_review.py | call | Executes scripts/run_comprehensive_review.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/run_protocol_4_gates.py | call | Executes scripts/run_protocol_4_gates.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/run_protocol_4_pre_audit.py | call | Executes scripts/run_protocol_4_pre_audit.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/validate_gate_4_pre_audit.py | call | Executes scripts/validate_gate_4_pre_audit.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/validate_gate_4_reporting.py | call | Executes scripts/validate_gate_4_reporting.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/validate_prerequisites_4.py | call | Executes scripts/validate_prerequisites_4.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/validate_router_mapping.py | call | Executes scripts/validate_router_mapping.py
.cursor/ai-driven-workflow/12-quality-audit.md → scripts/verify_specialized_execution.py | call | Executes scripts/verify_specialized_execution.py
.cursor/ai-driven-workflow/12-quality-audit.md → validate_gate_4_pre_audit.py | reference | Mentions validator validate_gate_4_pre_audit.py
.cursor/ai-driven-workflow/12-quality-audit.md → validate_gate_4_reporting.py | reference | Mentions validator validate_gate_4_reporting.py
.cursor/ai-driven-workflow/13-uat-coordination.md → .cursor/ai-driven-workflow/14-pre-deployment-staging.md | reference | References .cursor/ai-driven-workflow/14-pre-deployment-staging.md
.cursor/ai-driven-workflow/13-uat-coordination.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/13-uat-coordination.md → ai-driven-workflow/14-pre-deployment-staging.md | reference | References ai-driven-workflow/14-pre-deployment-staging.md
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/aggregate_evidence_15.py | call | Executes scripts/aggregate_evidence_15.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/build_uat_toolkit.py | call | Executes scripts/build_uat_toolkit.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/generate_release_notes.py | call | Executes scripts/generate_release_notes.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/run_protocol_15_gates.py | call | Executes scripts/run_protocol_15_gates.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/validate_gate_15_acceptance.py | call | Executes scripts/validate_gate_15_acceptance.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/validate_gate_15_defects.py | call | Executes scripts/validate_gate_15_defects.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/validate_gate_15_entry.py | call | Executes scripts/validate_gate_15_entry.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/validate_gate_15_execution.py | call | Executes scripts/validate_gate_15_execution.py
.cursor/ai-driven-workflow/13-uat-coordination.md → scripts/validate_prerequisites_15.py | call | Executes scripts/validate_prerequisites_15.py
.cursor/ai-driven-workflow/13-uat-coordination.md → validate_gate_15_acceptance.py | reference | Mentions validator validate_gate_15_acceptance.py
.cursor/ai-driven-workflow/13-uat-coordination.md → validate_gate_15_defects.py | reference | Mentions validator validate_gate_15_defects.py
.cursor/ai-driven-workflow/13-uat-coordination.md → validate_gate_15_entry.py | reference | Mentions validator validate_gate_15_entry.py
.cursor/ai-driven-workflow/13-uat-coordination.md → validate_gate_15_execution.py | reference | Mentions validator validate_gate_15_execution.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → .cursor/ai-driven-workflow/15-production-deployment.md | reference | References .cursor/ai-driven-workflow/15-production-deployment.md
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → ai-driven-workflow/15-production-deployment.md | reference | References ai-driven-workflow/15-production-deployment.md
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/aggregate_evidence_10.py | call | Executes scripts/aggregate_evidence_10.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/refresh_staging_data.py | call | Executes scripts/refresh_staging_data.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/run_protocol_10_gates.py | call | Executes scripts/run_protocol_10_gates.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/update_deployment_checklist.py | call | Executes scripts/update_deployment_checklist.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/validate_gate_10_intake.py | call | Executes scripts/validate_gate_10_intake.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/validate_gate_10_readiness.py | call | Executes scripts/validate_gate_10_readiness.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/validate_gate_10_rehearsal.py | call | Executes scripts/validate_gate_10_rehearsal.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/validate_gate_10_security.py | call | Executes scripts/validate_gate_10_security.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → scripts/validate_prerequisites_10.py | call | Executes scripts/validate_prerequisites_10.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → validate_gate_10_intake.py | reference | Mentions validator validate_gate_10_intake.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → validate_gate_10_readiness.py | reference | Mentions validator validate_gate_10_readiness.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → validate_gate_10_rehearsal.py | reference | Mentions validator validate_gate_10_rehearsal.py
.cursor/ai-driven-workflow/14-pre-deployment-staging.md → validate_gate_10_security.py | reference | Mentions validator validate_gate_10_security.py
.cursor/ai-driven-workflow/15-production-deployment.md → .cursor/ai-driven-workflow/16-monitoring-observability.md | reference | References .cursor/ai-driven-workflow/16-monitoring-observability.md
.cursor/ai-driven-workflow/15-production-deployment.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/15-production-deployment.md → ai-driven-workflow/16-monitoring-observability.md | reference | References ai-driven-workflow/16-monitoring-observability.md
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/aggregate_evidence_11.py | call | Executes scripts/aggregate_evidence_11.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/deploy_backend.sh | call | Runs scripts/deploy_backend.sh
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/run_protocol_15_gates.py | call | Executes scripts/run_protocol_15_gates.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/validate_gate_11_freeze.py | call | Executes scripts/validate_gate_11_freeze.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/validate_gate_11_launch.py | call | Executes scripts/validate_gate_11_launch.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/validate_gate_11_readiness.py | call | Executes scripts/validate_gate_11_readiness.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/validate_gate_11_reporting.py | call | Executes scripts/validate_gate_11_reporting.py
.cursor/ai-driven-workflow/15-production-deployment.md → scripts/validate_prerequisites_11.py | call | Executes scripts/validate_prerequisites_11.py
.cursor/ai-driven-workflow/15-production-deployment.md → validate_gate_11_freeze.py | reference | Mentions validator validate_gate_11_freeze.py
.cursor/ai-driven-workflow/15-production-deployment.md → validate_gate_11_launch.py | reference | Mentions validator validate_gate_11_launch.py
.cursor/ai-driven-workflow/15-production-deployment.md → validate_gate_11_readiness.py | reference | Mentions validator validate_gate_11_readiness.py
.cursor/ai-driven-workflow/15-production-deployment.md → validate_gate_11_reporting.py | reference | Mentions validator validate_gate_11_reporting.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → .cursor/ai-driven-workflow/17-incident-response-rollback.md | reference | References .cursor/ai-driven-workflow/17-incident-response-rollback.md
.cursor/ai-driven-workflow/16-monitoring-observability.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/16-monitoring-observability.md → ai-driven-workflow/17-incident-response-rollback.md | reference | References ai-driven-workflow/17-incident-response-rollback.md
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/aggregate_evidence_12.py | call | Executes scripts/aggregate_evidence_12.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/collect_perf.py | call | Executes scripts/collect_perf.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/run_protocol_12_gates.py | call | Executes scripts/run_protocol_12_gates.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/validate_gate_12_alerts.py | call | Executes scripts/validate_gate_12_alerts.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/validate_gate_12_assurance.py | call | Executes scripts/validate_gate_12_assurance.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/validate_gate_12_handoff.py | call | Executes scripts/validate_gate_12_handoff.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/validate_gate_12_instrumentation.py | call | Executes scripts/validate_gate_12_instrumentation.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → scripts/validate_prerequisites_12.py | call | Executes scripts/validate_prerequisites_12.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → validate_gate_12_alerts.py | reference | Mentions validator validate_gate_12_alerts.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → validate_gate_12_assurance.py | reference | Mentions validator validate_gate_12_assurance.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → validate_gate_12_handoff.py | reference | Mentions validator validate_gate_12_handoff.py
.cursor/ai-driven-workflow/16-monitoring-observability.md → validate_gate_12_instrumentation.py | reference | Mentions validator validate_gate_12_instrumentation.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → .cursor/ai-driven-workflow/18-performance-optimization.md | reference | References .cursor/ai-driven-workflow/18-performance-optimization.md
.cursor/ai-driven-workflow/17-incident-response-rollback.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/17-incident-response-rollback.md → ai-driven-workflow/18-performance-optimization.md | reference | References ai-driven-workflow/18-performance-optimization.md
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/aggregate_evidence_13.py | call | Executes scripts/aggregate_evidence_13.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/run_protocol_13_gates.py | call | Executes scripts/run_protocol_13_gates.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/validate_gate_13_mitigation.py | call | Executes scripts/validate_gate_13_mitigation.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/validate_gate_13_recovery.py | call | Executes scripts/validate_gate_13_recovery.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/validate_gate_13_resolution.py | call | Executes scripts/validate_gate_13_resolution.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/validate_gate_13_severity.py | call | Executes scripts/validate_gate_13_severity.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → scripts/validate_prerequisites_13.py | call | Executes scripts/validate_prerequisites_13.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → validate_gate_13_mitigation.py | reference | Mentions validator validate_gate_13_mitigation.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → validate_gate_13_recovery.py | reference | Mentions validator validate_gate_13_recovery.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → validate_gate_13_resolution.py | reference | Mentions validator validate_gate_13_resolution.py
.cursor/ai-driven-workflow/17-incident-response-rollback.md → validate_gate_13_severity.py | reference | Mentions validator validate_gate_13_severity.py
.cursor/ai-driven-workflow/18-performance-optimization.md → .cursor/ai-driven-workflow/22-implementation-retrospective.md | reference | References .cursor/ai-driven-workflow/22-implementation-retrospective.md
.cursor/ai-driven-workflow/18-performance-optimization.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.cursor/ai-driven-workflow/18-performance-optimization.md → ai-driven-workflow/22-implementation-retrospective.md | reference | References ai-driven-workflow/22-implementation-retrospective.md
.cursor/ai-driven-workflow/18-performance-optimization.md → scripts/aggregate_evidence_14.py | call | Executes scripts/aggregate_evidence_14.py
.cursor/ai-driven-workflow/18-performance-optimization.md → scripts/run_protocol_14_gates.py | call | Executes scripts/run_protocol_14_gates.py
.cursor/ai-driven-workflow/18-performance-optimization.md → scripts/validate_gate_14_baseline.py | call | Executes scripts/validate_gate_14_baseline.py
